Year,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Value
2018,,,,,,,,,,,,,,,,,,,,,,,,,,26.3
2017,,,,,,,,,,,,,,,,,,,,,,,,,,28.1
2016,,,,,,,,,,,,,,,,,,,,,,,,,,27.6
2015,,,,,,,,,,,,,,,,,,,,,,,,,,32.0
2014,,,,,,,,,,,,,,,,,,,,,,,,,,32.4
2013,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
2012,,,,,,,,,,,,,,,,,,,,,,,,,,35.6
2011,,,,,,,,,,,,,,,,,,,,,,,,,,39.6
2010,,,,,,,,,,,,,,,,,,,,,,,,,,38.2
2009,,,,,,,,,,,,,,,,,,,,,,,,,,43.3
2008,,,,,,,,,,,,,,,,,,,,,,,,,,46.3
2007,,,,,,,,,,,,,,,,,,,,,,,,,,47.3
2006,,,,,,,,,,,,,,,,,,,,,,,,,,41.1
2005,,,,,,,,,,,,,,,,,,,,,,,,,,47.7
2004,,,,,,,,,,,,,,,,,,,,,,,,,,45.2
2003,,,,,,,,,,,,,,,,,,,,,,,,,,43.8
2002,,,,,,,,,,,,,,,,,,,,,,,,,,44.5
2001,,,,,,,,,,,,,,,,,,,,,,,,,,45.8
2000,,,,,,,,,,,,,,,,,,,,,,,,,,50.3
1999,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
1998,,,,,,,,,,,,,,,,,,,,,,,,,,57.9
