Year,Value,Units
1998,275,Accommodation and food service activities
1999,294,Accommodation and food service activities
2000,297,Accommodation and food service activities
2001,321,Accommodation and food service activities
2002,334,Accommodation and food service activities
2003,368,Accommodation and food service activities
2004,360,Accommodation and food service activities
2005,360,Accommodation and food service activities
2006,398,Accommodation and food service activities
2007,380,Accommodation and food service activities
2008,394,Accommodation and food service activities
2009,360,Accommodation and food service activities
2010,379,Accommodation and food service activities
2011,388,Accommodation and food service activities
2012,413,Accommodation and food service activities
2013,394,Accommodation and food service activities
2014,397,Accommodation and food service activities
2015,440,Accommodation and food service activities
2016,443,Accommodation and food service activities
2017,439,Accommodation and food service activities
2018,466,Accommodation and food service activities
2019,491,Accommodation and food service activities
1998,46,Employment activities; tourism and security services
1999,49,Employment activities; tourism and security services
2000,55,Employment activities; tourism and security services
2001,64,Employment activities; tourism and security services
2002,66,Employment activities; tourism and security services
2003,61,Employment activities; tourism and security services
2004,70,Employment activities; tourism and security services
2005,74,Employment activities; tourism and security services
2006,88,Employment activities; tourism and security services
2007,122,Employment activities; tourism and security services
2008,130,Employment activities; tourism and security services
2009,95,Employment activities; tourism and security services
2010,115,Employment activities; tourism and security services
2011,120,Employment activities; tourism and security services
2012,139,Employment activities; tourism and security services
2013,173,Employment activities; tourism and security services
2014,207,Employment activities; tourism and security services
2015,263,Employment activities; tourism and security services
2016,249,Employment activities; tourism and security services
2017,253,Employment activities; tourism and security services
2018,264,Employment activities; tourism and security services
2019,305,Employment activities; tourism and security services
1998,380,"Arts, entertainment and recreation"
1999,344,"Arts, entertainment and recreation"
2000,356,"Arts, entertainment and recreation"
2001,344,"Arts, entertainment and recreation"
2002,327,"Arts, entertainment and recreation"
2003,379,"Arts, entertainment and recreation"
2004,390,"Arts, entertainment and recreation"
2005,423,"Arts, entertainment and recreation"
2006,410,"Arts, entertainment and recreation"
2007,372,"Arts, entertainment and recreation"
2008,379,"Arts, entertainment and recreation"
2009,385,"Arts, entertainment and recreation"
2010,404,"Arts, entertainment and recreation"
2011,420,"Arts, entertainment and recreation"
2012,449,"Arts, entertainment and recreation"
2013,439,"Arts, entertainment and recreation"
2014,435,"Arts, entertainment and recreation"
2015,451,"Arts, entertainment and recreation"
2016,433,"Arts, entertainment and recreation"
2017,399,"Arts, entertainment and recreation"
2018,422,"Arts, entertainment and recreation"
2019,451,"Arts, entertainment and recreation"
