Year,Value,Observation status,Unit multiplier,Unit measure
2002,5.8902,Undefined,Units,"Rate per 1,000 live births"
2003,5.6407,Undefined,Units,"Rate per 1,000 live births"
2004,6.4562,Undefined,Units,"Rate per 1,000 live births"
2005,6.6133,Undefined,Units,"Rate per 1,000 live births"
2006,6.6035,Undefined,Units,"Rate per 1,000 live births"
2007,5.4681,Undefined,Units,"Rate per 1,000 live births"
2008,5.2397,Undefined,Units,"Rate per 1,000 live births"
2009,5.1844,Undefined,Units,"Rate per 1,000 live births"
2010,4.9229,Undefined,Units,"Rate per 1,000 live births"
2011,4.7275,Undefined,Units,"Rate per 1,000 live births"
2012,4.237,Undefined,Units,"Rate per 1,000 live births"
2013,4.7021,Undefined,Units,"Rate per 1,000 live births"
2014,4.3728,Undefined,Units,"Rate per 1,000 live births"
2015,5.2353,Undefined,Units,"Rate per 1,000 live births"
2016,5.7242,Undefined,Units,"Rate per 1,000 live births"
2017,6.1239,Undefined,Units,"Rate per 1,000 live births"
2018,5.4201,Undefined,Units,"Rate per 1,000 live births"
